2019-05-29 21:32:51 - [OK] Servidor iniciado.
2019-05-29 21:32:51 - [OK] threads inicializadas.
2019-05-29 21:32:51 - [OK] Socket criado. Aguardando conexões...
2019-05-29 21:35:01 - [OK] Socket adicionado à fila.
2019-05-29 21:35:01 - [OK] Socket removido da fila.
2019-05-29 21:35:01 - [OK] Thread desbloqueada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:35:01 - [ERRO] Mensagem de boas-vindas enviada.
